Date,Ticker,Open,High,Low,Close,Volume,VWAP,Transactions
2025-04-07,GOOG,143.39,154.93,142.66,149.24,47823024.0,148.1375,751118
2025-04-08,GOOG,153.575,154.44,145.21,146.58,35304338.0,149.7416,591097
2025-04-09,GOOG,146.33,161.87,145.81,161.06,46479542.0,155.0961,732845
2025-04-10,GOOG,158.76,160.03,152.2,155.37,35270540.0,155.9746,632822
2025-04-11,GOOG,155.585,159.86,155.585,159.4,22581989.0,158.4399,389456
2025-04-14,GOOG,162.31,164.03,159.92,161.47,18251181.0,161.9437,288546
2025-04-15,GOOG,161.57,162.05,157.645,158.68,15690783.0,159.2157,233863
2025-04-16,GOOG,155.47,158.18,153.91,155.5,16921497.0,155.8407,262106
2025-04-17,GOOG,156.61,157.07,150.9,153.36,19513408.0,153.7832,300726
2025-04-21,GOOG,150.965,151.06,148.4,149.86,16147780.0,149.5938,222917
2025-04-22,GOOG,151.07,154.61,150.87,153.9,15910327.0,153.1623,219985
2025-04-23,GOOG,157.91,160.02,156.35,157.72,18575547.0,158.0902,285366
2025-04-24,GOOG,158.525,161.71,158.09,161.47,30787481.0,161.9708,381522
2025-04-25,GOOG,167.1,168.24,163.0,163.85,35148053.0,164.9999,463307
2025-04-28,GOOG,164.26,164.95,160.3801,162.42,20871153.0,162.1764,278404
2025-04-29,GOOG,162.045,162.68,159.39,162.06,15955215.0,161.6254,248489
2025-04-30,GOOG,159.86,161.374,157.155,160.89,20639520.0,159.6972,289755
2025-05-01,GOOG,162.52,163.94,160.93,162.79,21904291.0,162.787,296816
2025-05-02,GOOG,164.955,166.7,163.66,165.81,16844937.0,165.6205,241242
2025-05-05,GOOG,164.515,167.1,164.47,166.05,15309343.0,166.2787,183840
2025-05-06,GOOG,163.96,166.74,163.13,165.2,10691949.0,165.2731,167899
2025-05-07,GOOG,166.07,166.99,149.4901,152.8,78900429.0,153.8547,1054798
2025-05-08,GOOG,155.92,157.41,154.1,155.75,38387507.0,155.8105,548890
2025-05-09,GOOG,155.55,156.43,153.83,154.38,22871035.0,154.726,299535
2025-05-12,GOOG,159.1,160.44,157.8898,159.58,31884901.0,159.3004,446268
2025-05-13,GOOG,159.92,162.06,157.58,160.89,24944270.0,160.5649,406977
2025-05-14,GOOG,161.31,168.34,160.93,166.81,31769209.0,165.6288,491032
2025-05-15,GOOG,167.14,167.51,163.84,165.4,22717554.0,165.8308,392062
2025-05-16,GOOG,168.93,170.65,166.95,167.43,36271378.0,168.1562,568607
2025-05-19,GOOG,165.715,167.95,165.415,167.87,21374688.0,166.789,340456
2025-05-20,GOOG,167.76,169.68,164.26,165.32,33563274.0,166.7156,549307
2025-05-21,GOOG,164.95,174.53,164.89,170.06,45567580.0,171.2689,760697
2025-05-22,GOOG,173.35,178.13,171.88,171.98,45024081.0,174.5741,760398
2025-05-23,GOOG,170.28,171.205,169.26,169.59,24963648.0,170.2286,408761
2025-05-27,GOOG,171.3,174.29,171.21,173.98,24341333.0,173.3243,419121
2025-05-28,GOOG,173.98,176.48,173.0146,173.38,25999228.0,174.0127,354768
2025-05-29,GOOG,175.0,175.4,171.78,172.96,21233590.0,173.1279,361880
2025-05-30,GOOG,172.41,173.44,168.525,172.85,36258254.0,171.8795,439038
